user,service,value,contextValue,s
93xlxT,chocolate,1.0,0,http://ontologies/interactioncontext#interactionseq1306
93xlxT,chocolate,1.0,t2,http://ontologies/interactioncontext#interactionseq1306
d4guBrpB,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1307
d4guBrpB,cortado,1.0,0,http://ontologies/interactioncontext#interactionseq1307
d4guBrpB,cortado,1.0,t2,http://ontologies/interactioncontext#interactionseq1307
gKUuuzg9,chocolate,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1308
gKUuuzg9,chocolate,1.0,1,http://ontologies/interactioncontext#interactionseq1308
gKUuuzg9,chocolate,1.0,t1,http://ontologies/interactioncontext#interactionseq1308
FmxgvxmU,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1309
FmxgvxmU,cortado,1.0,1,http://ontologies/interactioncontext#interactionseq1309
FmxgvxmU,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq1309
gKUuuzg9,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq131
gKUuuzg9,milk_coffee,1.0,2,http://ontologies/interactioncontext#interactionseq131
gKUuuzg9,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq131
93xlxT,cortado decaffeinated,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1310
93xlxT,cortado decaffeinated,1.0,1,http://ontologies/interactioncontext#interactionseq1310
93xlxT,cortado decaffeinated,1.0,t1,http://ontologies/interactioncontext#interactionseq1310
CuAgSlJwl,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1311
CuAgSlJwl,cortado,1.0,1,http://ontologies/interactioncontext#interactionseq1311
CuAgSlJwl,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq1311
5pVcV5V,chocolate,1.0,supervisor,http://ontologies/interactioncontext#interactionseq1312
5pVcV5V,chocolate,1.0,1,http://ontologies/interactioncontext#interactionseq1312
5pVcV5V,chocolate,1.0,t2,http://ontologies/interactioncontext#interactionseq1312
d4guBrpB,cortado decaffeinated,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1313
d4guBrpB,cortado decaffeinated,1.0,1,http://ontologies/interactioncontext#interactionseq1313
d4guBrpB,cortado decaffeinated,1.0,t2,http://ontologies/interactioncontext#interactionseq1313
D6F0qp7s7,cortado,1.0,administrative,http://ontologies/interactioncontext#interactionseq1314
D6F0qp7s7,cortado,1.0,1,http://ontologies/interactioncontext#interactionseq1314
D6F0qp7s7,cortado,1.0,t2,http://ontologies/interactioncontext#interactionseq1314
FmxgvxmU,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1315
FmxgvxmU,cortado,1.0,2,http://ontologies/interactioncontext#interactionseq1315
FmxgvxmU,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq1315
gKUuuzg9,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1316
gKUuuzg9,milk_coffee,1.0,2,http://ontologies/interactioncontext#interactionseq1316
gKUuuzg9,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq1316
5pVcV5V,hazelnut_cappuccino,1.0,supervisor,http://ontologies/interactioncontext#interactionseq1317
5pVcV5V,hazelnut_cappuccino,1.0,2,http://ontologies/interactioncontext#interactionseq1317
5pVcV5V,hazelnut_cappuccino,1.0,t1,http://ontologies/interactioncontext#interactionseq1317
d4guBrpB,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1318
d4guBrpB,cortado,1.0,2,http://ontologies/interactioncontext#interactionseq1318
d4guBrpB,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq1318
CuAgSlJwl,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1319
CuAgSlJwl,milk_coffee,1.0,2,http://ontologies/interactioncontext#interactionseq1319
CuAgSlJwl,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq1319
M8TX69h8,milk_coffee,1.0,2,http://ontologies/interactioncontext#interactionseq132
M8TX69h8,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq132
M8TX69h8,milk_coffee,1.0,supervisor,http://ontologies/interactioncontext#interactionseq132
D6F0qp7s7,cortado,1.0,administrative,http://ontologies/interactioncontext#interactionseq1320
D6F0qp7s7,cortado,1.0,2,http://ontologies/interactioncontext#interactionseq1320
D6F0qp7s7,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq1320
93xlxT,chocolate,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1321
93xlxT,chocolate,1.0,2,http://ontologies/interactioncontext#interactionseq1321
93xlxT,chocolate,1.0,t2,http://ontologies/interactioncontext#interactionseq1321
CuAgSlJwl,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1322
CuAgSlJwl,milk_coffee,1.0,3,http://ontologies/interactioncontext#interactionseq1322
CuAgSlJwl,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq1322
gKUuuzg9,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1323
gKUuuzg9,milk_coffee,1.0,3,http://ontologies/interactioncontext#interactionseq1323
gKUuuzg9,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq1323
5pVcV5V,hazelnut_cappuccino,1.0,supervisor,http://ontologies/interactioncontext#interactionseq1324
5pVcV5V,hazelnut_cappuccino,1.0,3,http://ontologies/interactioncontext#interactionseq1324
5pVcV5V,hazelnut_cappuccino,1.0,t1,http://ontologies/interactioncontext#interactionseq1324
FmxgvxmU,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1325
FmxgvxmU,cortado,1.0,3,http://ontologies/interactioncontext#interactionseq1325
FmxgvxmU,cortado,1.0,t2,http://ontologies/interactioncontext#interactionseq1325
D6F0qp7s7,cortado,1.0,administrative,http://ontologies/interactioncontext#interactionseq1326
D6F0qp7s7,cortado,1.0,3,http://ontologies/interactioncontext#interactionseq1326
D6F0qp7s7,cortado,1.0,t2,http://ontologies/interactioncontext#interactionseq1326
93xlxT,chocolate,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1327
93xlxT,chocolate,1.0,3,http://ontologies/interactioncontext#interactionseq1327
93xlxT,chocolate,1.0,t2,http://ontologies/interactioncontext#interactionseq1327
d4guBrpB,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1328
d4guBrpB,cortado,1.0,3,http://ontologies/interactioncontext#interactionseq1328
d4guBrpB,cortado,1.0,t2,http://ontologies/interactioncontext#interactionseq1328
CuAgSlJwl,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1329
CuAgSlJwl,cortado,1.0,4,http://ontologies/interactioncontext#interactionseq1329
CuAgSlJwl,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq1329
uhDooz5uD,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq133
uhDooz5uD,milk_coffee,1.0,2,http://ontologies/interactioncontext#interactionseq133
uhDooz5uD,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq133
d4guBrpB,cortado decaffeinated,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1330
d4guBrpB,cortado decaffeinated,1.0,4,http://ontologies/interactioncontext#interactionseq1330
d4guBrpB,cortado decaffeinated,1.0,t1,http://ontologies/interactioncontext#interactionseq1330
93xlxT,cortado decaffeinated,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1331
93xlxT,cortado decaffeinated,1.0,4,http://ontologies/interactioncontext#interactionseq1331
93xlxT,cortado decaffeinated,1.0,t1,http://ontologies/interactioncontext#interactionseq1331
FmxgvxmU,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1332
FmxgvxmU,cortado,1.0,4,http://ontologies/interactioncontext#interactionseq1332
FmxgvxmU,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq1332
gKUuuzg9,chocolate,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1333
gKUuuzg9,chocolate,1.0,4,http://ontologies/interactioncontext#interactionseq1333
gKUuuzg9,chocolate,1.0,t1,http://ontologies/interactioncontext#interactionseq1333
5pVcV5V,chocolate,1.0,supervisor,http://ontologies/interactioncontext#interactionseq1334
5pVcV5V,chocolate,1.0,4,http://ontologies/interactioncontext#interactionseq1334
5pVcV5V,chocolate,1.0,t2,http://ontologies/interactioncontext#interactionseq1334
D6F0qp7s7,cortado,1.0,administrative,http://ontologies/interactioncontext#interactionseq1335
D6F0qp7s7,cortado,1.0,4,http://ontologies/interactioncontext#interactionseq1335
D6F0qp7s7,cortado,1.0,t2,http://ontologies/interactioncontext#interactionseq1335
5pVcV5V,hazelnut_cappuccino,1.0,supervisor,http://ontologies/interactioncontext#interactionseq1336
5pVcV5V,hazelnut_cappuccino,1.0,0,http://ontologies/interactioncontext#interactionseq1336
5pVcV5V,hazelnut_cappuccino,1.0,t1,http://ontologies/interactioncontext#interactionseq1336
93xlxT,chocolate,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1337
93xlxT,chocolate,1.0,0,http://ontologies/interactioncontext#interactionseq1337
93xlxT,chocolate,1.0,t1,http://ontologies/interactioncontext#interactionseq1337
gKUuuzg9,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1338
gKUuuzg9,milk_coffee,1.0,0,http://ontologies/interactioncontext#interactionseq1338
gKUuuzg9,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq1338
d4guBrpB,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1339
d4guBrpB,cortado,1.0,0,http://ontologies/interactioncontext#interactionseq1339
d4guBrpB,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq1339
CkfZksM2rBrL,cortado,1.0,supervisor,http://ontologies/interactioncontext#interactionseq134
CkfZksM2rBrL,cortado,1.0,2,http://ontologies/interactioncontext#interactionseq134
CkfZksM2rBrL,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq134
CuAgSlJwl,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1340
CuAgSlJwl,milk_coffee,1.0,0,http://ontologies/interactioncontext#interactionseq1340
CuAgSlJwl,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq1340
D6F0qp7s7,cortado,1.0,administrative,http://ontologies/interactioncontext#interactionseq1341
D6F0qp7s7,cortado,1.0,0,http://ontologies/interactioncontext#interactionseq1341
D6F0qp7s7,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq1341
FmxgvxmU,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1342
FmxgvxmU,cortado,1.0,0,http://ontologies/interactioncontext#interactionseq1342
FmxgvxmU,cortado,1.0,t2,http://ontologies/interactioncontext#interactionseq1342
FmxgvxmU,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1343
FmxgvxmU,cortado,1.0,1,http://ontologies/interactioncontext#interactionseq1343
FmxgvxmU,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq1343
CuAgSlJwl,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1344
CuAgSlJwl,milk_coffee,1.0,1,http://ontologies/interactioncontext#interactionseq1344
CuAgSlJwl,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq1344
d4guBrpB,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1345
d4guBrpB,cortado,1.0,1,http://ontologies/interactioncontext#interactionseq1345
d4guBrpB,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq1345
gKUuuzg9,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1346
gKUuuzg9,milk_coffee,1.0,1,http://ontologies/interactioncontext#interactionseq1346
gKUuuzg9,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq1346
5pVcV5V,hazelnut_cappuccino,1.0,supervisor,http://ontologies/interactioncontext#interactionseq1347
5pVcV5V,hazelnut_cappuccino,1.0,1,http://ontologies/interactioncontext#interactionseq1347
5pVcV5V,hazelnut_cappuccino,1.0,t2,http://ontologies/interactioncontext#interactionseq1347
D6F0qp7s7,cortado,1.0,administrative,http://ontologies/interactioncontext#interactionseq1348
D6F0qp7s7,cortado,1.0,1,http://ontologies/interactioncontext#interactionseq1348
D6F0qp7s7,cortado,1.0,t2,http://ontologies/interactioncontext#interactionseq1348
93xlxT,chocolate,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1349
93xlxT,chocolate,1.0,1,http://ontologies/interactioncontext#interactionseq1349
93xlxT,chocolate,1.0,t2,http://ontologies/interactioncontext#interactionseq1349
CuAgSlJwl,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq135
CuAgSlJwl,milk_coffee,1.0,2,http://ontologies/interactioncontext#interactionseq135
CuAgSlJwl,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq135
CuAgSlJwl,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1350
CuAgSlJwl,cortado,1.0,2,http://ontologies/interactioncontext#interactionseq1350
CuAgSlJwl,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq1350
93xlxT,cortado decaffeinated,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1351
93xlxT,cortado decaffeinated,1.0,2,http://ontologies/interactioncontext#interactionseq1351
93xlxT,cortado decaffeinated,1.0,t1,http://ontologies/interactioncontext#interactionseq1351
5pVcV5V,chocolate,1.0,supervisor,http://ontologies/interactioncontext#interactionseq1352
5pVcV5V,chocolate,1.0,2,http://ontologies/interactioncontext#interactionseq1352
5pVcV5V,chocolate,1.0,t1,http://ontologies/interactioncontext#interactionseq1352
gKUuuzg9,chocolate,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1353
gKUuuzg9,chocolate,1.0,2,http://ontologies/interactioncontext#interactionseq1353
gKUuuzg9,chocolate,1.0,t1,http://ontologies/interactioncontext#interactionseq1353
FmxgvxmU,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1354
FmxgvxmU,cortado,1.0,2,http://ontologies/interactioncontext#interactionseq1354
FmxgvxmU,cortado,1.0,t2,http://ontologies/interactioncontext#interactionseq1354
D6F0qp7s7,cortado,1.0,administrative,http://ontologies/interactioncontext#interactionseq1355
D6F0qp7s7,cortado,1.0,2,http://ontologies/interactioncontext#interactionseq1355
D6F0qp7s7,cortado,1.0,t2,http://ontologies/interactioncontext#interactionseq1355
d4guBrpB,cortado decaffeinated,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1356
d4guBrpB,cortado decaffeinated,1.0,2,http://ontologies/interactioncontext#interactionseq1356
d4guBrpB,cortado decaffeinated,1.0,t2,http://ontologies/interactioncontext#interactionseq1356
5pVcV5V,hazelnut_cappuccino,1.0,supervisor,http://ontologies/interactioncontext#interactionseq136
5pVcV5V,hazelnut_cappuccino,1.0,2,http://ontologies/interactioncontext#interactionseq136
5pVcV5V,hazelnut_cappuccino,1.0,t1,http://ontologies/interactioncontext#interactionseq136
gKUuuzg9,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq137
gKUuuzg9,milk_coffee,1.0,2,http://ontologies/interactioncontext#interactionseq137
gKUuuzg9,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq137
FmxgvxmU,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq138
FmxgvxmU,cortado,1.0,2,http://ontologies/interactioncontext#interactionseq138
FmxgvxmU,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq138
D6F0qp7s7,cortado,1.0,administrative,http://ontologies/interactioncontext#interactionseq139
D6F0qp7s7,cortado,1.0,2,http://ontologies/interactioncontext#interactionseq139
D6F0qp7s7,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq139
5pVcV5V,chocolate,1.0,supervisor,http://ontologies/interactioncontext#interactionseq14
5pVcV5V,chocolate,1.0,3,http://ontologies/interactioncontext#interactionseq14
5pVcV5V,chocolate,1.0,t1,http://ontologies/interactioncontext#interactionseq14
CuAgSlJwl,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq140
CuAgSlJwl,milk_coffee,1.0,2,http://ontologies/interactioncontext#interactionseq140
CuAgSlJwl,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq140
qpzNDzybrsi,expresso,1.0,administrative,http://ontologies/interactioncontext#interactionseq141
qpzNDzybrsi,expresso,1.0,2,http://ontologies/interactioncontext#interactionseq141
qpzNDzybrsi,expresso,1.0,t1,http://ontologies/interactioncontext#interactionseq141
jb1CjU1HF,milk_coffee,1.0,supervisor,http://ontologies/interactioncontext#interactionseq142
jb1CjU1HF,milk_coffee,1.0,2,http://ontologies/interactioncontext#interactionseq142
jb1CjU1HF,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq142
IQtg13hB,expresso,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq143
IQtg13hB,expresso,1.0,2,http://ontologies/interactioncontext#interactionseq143
IQtg13hB,expresso,1.0,t2,http://ontologies/interactioncontext#interactionseq143
uhDooz5uD,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq144
uhDooz5uD,milk_coffee,1.0,2,http://ontologies/interactioncontext#interactionseq144
uhDooz5uD,milk_coffee,1.0,t2,http://ontologies/interactioncontext#interactionseq144
CCMAqXtVdM,cortado,1.0,supervisor,http://ontologies/interactioncontext#interactionseq145
CCMAqXtVdM,cortado,1.0,2,http://ontologies/interactioncontext#interactionseq145
CCMAqXtVdM,cortado,1.0,t2,http://ontologies/interactioncontext#interactionseq145
ymETMF4M4,long_decaffeinated,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq146
ymETMF4M4,long_decaffeinated,1.0,2,http://ontologies/interactioncontext#interactionseq146
ymETMF4M4,long_decaffeinated,1.0,t2,http://ontologies/interactioncontext#interactionseq146
Yx3rQ,cortado,0.5,doctoral student,http://ontologies/interactioncontext#interactionseq1468
Yx3rQ,cortado,0.5,2,http://ontologies/interactioncontext#interactionseq1468
Yx3rQ,cortado,0.5,t1,http://ontologies/interactioncontext#interactionseq1468
Yx3rQ,capuccino,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1469
Yx3rQ,capuccino,1.0,2,http://ontologies/interactioncontext#interactionseq1469
Yx3rQ,capuccino,1.0,t1,http://ontologies/interactioncontext#interactionseq1469
Vhpk5shpkk,decaffeinated,1.0,supervisor,http://ontologies/interactioncontext#interactionseq147
Vhpk5shpkk,decaffeinated,1.0,2,http://ontologies/interactioncontext#interactionseq147
Vhpk5shpkk,decaffeinated,1.0,t2,http://ontologies/interactioncontext#interactionseq147
Yx3rQ,chocolate,0.0,doctoral student,http://ontologies/interactioncontext#interactionseq1470
Yx3rQ,chocolate,0.0,2,http://ontologies/interactioncontext#interactionseq1470
Yx3rQ,chocolate,0.0,t1,http://ontologies/interactioncontext#interactionseq1470
Yx3rQ,capuccino,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1474
Yx3rQ,capuccino,1.0,2,http://ontologies/interactioncontext#interactionseq1474
Yx3rQ,capuccino,1.0,t1,http://ontologies/interactioncontext#interactionseq1474
CkfZksM2rBrL,cortado,1.0,supervisor,http://ontologies/interactioncontext#interactionseq148
CkfZksM2rBrL,cortado,1.0,2,http://ontologies/interactioncontext#interactionseq148
CkfZksM2rBrL,cortado,1.0,t2,http://ontologies/interactioncontext#interactionseq148
0a4Qn,capuccino,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1481
0a4Qn,capuccino,1.0,2,http://ontologies/interactioncontext#interactionseq1481
0a4Qn,capuccino,1.0,t1,http://ontologies/interactioncontext#interactionseq1481
0a4Qn,txokolate white,0.0,doctoral student,http://ontologies/interactioncontext#interactionseq1488
0a4Qn,txokolate white,0.0,2,http://ontologies/interactioncontext#interactionseq1488
0a4Qn,txokolate white,0.0,t1,http://ontologies/interactioncontext#interactionseq1488
0a4Qn,cortado,0.5,doctoral student,http://ontologies/interactioncontext#interactionseq1489
0a4Qn,cortado,0.5,2,http://ontologies/interactioncontext#interactionseq1489
0a4Qn,cortado,0.5,t1,http://ontologies/interactioncontext#interactionseq1489
IQtg13hB,expresso,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq149
IQtg13hB,expresso,1.0,2,http://ontologies/interactioncontext#interactionseq149
IQtg13hB,expresso,1.0,t2,http://ontologies/interactioncontext#interactionseq149
0a4Qn,long_coffee,0.0,doctoral student,http://ontologies/interactioncontext#interactionseq1490
0a4Qn,long_coffee,0.0,2,http://ontologies/interactioncontext#interactionseq1490
0a4Qn,long_coffee,0.0,t1,http://ontologies/interactioncontext#interactionseq1490
IQtg13hB,expresso,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq15
IQtg13hB,expresso,1.0,3,http://ontologies/interactioncontext#interactionseq15
IQtg13hB,expresso,1.0,t1,http://ontologies/interactioncontext#interactionseq15
OJwzAJ33l,chocolate,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq150
OJwzAJ33l,chocolate,1.0,2,http://ontologies/interactioncontext#interactionseq150
OJwzAJ33l,chocolate,1.0,t2,http://ontologies/interactioncontext#interactionseq150
0a4Qn,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1500
0a4Qn,milk_coffee,1.0,2,http://ontologies/interactioncontext#interactionseq1500
0a4Qn,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq1500
0a4Qn,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1501
0a4Qn,milk_coffee,1.0,2,http://ontologies/interactioncontext#interactionseq1501
0a4Qn,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq1501
5pVcV5V,chocolate,1.0,supervisor,http://ontologies/interactioncontext#interactionseq151
5pVcV5V,chocolate,1.0,3,http://ontologies/interactioncontext#interactionseq151
5pVcV5V,chocolate,1.0,t1,http://ontologies/interactioncontext#interactionseq151
0a4Qn,arabiar tea,0.0,doctoral student,http://ontologies/interactioncontext#interactionseq1518
0a4Qn,arabiar tea,0.0,2,http://ontologies/interactioncontext#interactionseq1518
0a4Qn,arabiar tea,0.0,t1,http://ontologies/interactioncontext#interactionseq1518
gKUuuzg9,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq152
gKUuuzg9,milk_coffee,1.0,3,http://ontologies/interactioncontext#interactionseq152
gKUuuzg9,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq152
0a4Qn,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1523
0a4Qn,milk_coffee,1.0,2,http://ontologies/interactioncontext#interactionseq1523
0a4Qn,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq1523
0a4Qn,arabiar tea,0.0,doctoral student,http://ontologies/interactioncontext#interactionseq1525
0a4Qn,arabiar tea,0.0,2,http://ontologies/interactioncontext#interactionseq1525
0a4Qn,arabiar tea,0.0,t1,http://ontologies/interactioncontext#interactionseq1525
0a4Qn,capuccino,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1528
0a4Qn,capuccino,1.0,2,http://ontologies/interactioncontext#interactionseq1528
0a4Qn,capuccino,1.0,t1,http://ontologies/interactioncontext#interactionseq1528
0a4Qn,cortado decaffeinated,0.5,doctoral student,http://ontologies/interactioncontext#interactionseq1529
0a4Qn,cortado decaffeinated,0.5,2,http://ontologies/interactioncontext#interactionseq1529
0a4Qn,cortado decaffeinated,0.5,t1,http://ontologies/interactioncontext#interactionseq1529
iia5SP5,hazelnut_cappuccino,1.0,supervisor,http://ontologies/interactioncontext#interactionseq153
iia5SP5,hazelnut_cappuccino,1.0,3,http://ontologies/interactioncontext#interactionseq153
iia5SP5,hazelnut_cappuccino,1.0,t1,http://ontologies/interactioncontext#interactionseq153
OCUnH,cortado,0.5,doctoral student,http://ontologies/interactioncontext#interactionseq1539
OCUnH,cortado,0.5,2,http://ontologies/interactioncontext#interactionseq1539
OCUnH,cortado,0.5,t1,http://ontologies/interactioncontext#interactionseq1539
CuAgSlJwl,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq154
CuAgSlJwl,milk_coffee,1.0,3,http://ontologies/interactioncontext#interactionseq154
CuAgSlJwl,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq154
OCUnH,capuccino,0.5,doctoral student,http://ontologies/interactioncontext#interactionseq1541
OCUnH,capuccino,0.5,2,http://ontologies/interactioncontext#interactionseq1541
OCUnH,capuccino,0.5,t1,http://ontologies/interactioncontext#interactionseq1541
OCUnH,decaffeinated,0.0,doctoral student,http://ontologies/interactioncontext#interactionseq1543
OCUnH,decaffeinated,0.0,2,http://ontologies/interactioncontext#interactionseq1543
OCUnH,decaffeinated,0.0,t1,http://ontologies/interactioncontext#interactionseq1543
CuAgSlJwl,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq155
CuAgSlJwl,milk_coffee,1.0,3,http://ontologies/interactioncontext#interactionseq155
CuAgSlJwl,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq155
OCUnH,expresso,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1552
OCUnH,expresso,1.0,2,http://ontologies/interactioncontext#interactionseq1552
OCUnH,expresso,1.0,t1,http://ontologies/interactioncontext#interactionseq1552
ymETMF4M4,capuccino,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq156
ymETMF4M4,capuccino,1.0,3,http://ontologies/interactioncontext#interactionseq156
ymETMF4M4,capuccino,1.0,t1,http://ontologies/interactioncontext#interactionseq156
OCUnH,cortado,0.0,doctoral student,http://ontologies/interactioncontext#interactionseq1560
OCUnH,cortado,0.0,2,http://ontologies/interactioncontext#interactionseq1560
OCUnH,cortado,0.0,t1,http://ontologies/interactioncontext#interactionseq1560
OCUnH,capuccino,0.0,doctoral student,http://ontologies/interactioncontext#interactionseq1561
OCUnH,capuccino,0.0,2,http://ontologies/interactioncontext#interactionseq1561
OCUnH,capuccino,0.0,t1,http://ontologies/interactioncontext#interactionseq1561
OCUnH,arabiar tea,0.0,doctoral student,http://ontologies/interactioncontext#interactionseq1562
OCUnH,arabiar tea,0.0,2,http://ontologies/interactioncontext#interactionseq1562
OCUnH,arabiar tea,0.0,t1,http://ontologies/interactioncontext#interactionseq1562
jb1CjU1HF,milk_coffee,1.0,supervisor,http://ontologies/interactioncontext#interactionseq157
jb1CjU1HF,milk_coffee,1.0,3,http://ontologies/interactioncontext#interactionseq157
jb1CjU1HF,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq157
OCUnH,expresso,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1571
OCUnH,expresso,1.0,2,http://ontologies/interactioncontext#interactionseq1571
OCUnH,expresso,1.0,t1,http://ontologies/interactioncontext#interactionseq1571
IQtg13hB,expresso,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq158
IQtg13hB,expresso,1.0,3,http://ontologies/interactioncontext#interactionseq158
IQtg13hB,expresso,1.0,t1,http://ontologies/interactioncontext#interactionseq158
I3RXU,cortado,0.0,doctoral student,http://ontologies/interactioncontext#interactionseq1581
I3RXU,cortado,0.0,2,http://ontologies/interactioncontext#interactionseq1581
I3RXU,cortado,0.0,t1,http://ontologies/interactioncontext#interactionseq1581
I3RXU,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1588
I3RXU,milk_coffee,1.0,2,http://ontologies/interactioncontext#interactionseq1588
I3RXU,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq1588
I3RXU,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1589
I3RXU,milk_coffee,1.0,2,http://ontologies/interactioncontext#interactionseq1589
I3RXU,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq1589
93xlxT,chocolate,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq159
